hi Parisa
         8087408 function calls (7989965 primitive calls) in 1849.719 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3427(BitmapImage)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3442(Spinbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:348(IntVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3600(LabelFrame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3622(PanedWindow)
        1    0.000    0.000    0.000    0.000 Tkinter.py:373(DoubleVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3813(Studbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3821(Tributton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:392(BooleanVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:428(Misc)
       81    0.000    0.000    0.000    0.000 UserDict.py:103(__contains__)
       50    0.000    0.000    0.000    0.000 UserDict.py:35(__getitem__)
        5    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
       58    0.000    0.000    0.000    0.000 UserDict.py:91(get)
        1    0.000    0.000    0.000    0.000 _LWPCookieJar.py:12(<module>)
        1    0.000    0.000    0.000    0.000 _LWPCookieJar.py:49(LWPCookieJar)
        1    0.000    0.000    0.000    0.000 _MozillaCookieJar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _MozillaCookieJar.py:8(MozillaCookieJar)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        3    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
       85    0.015    0.000    0.476    0.006 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ProjectionRegistry)
        1    0.001    0.001    0.030    0.030 __init__.py:101(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1010(Manager)
        1    0.000    0.000    0.004    0.004 __init__.py:1011(rc_params)
        1    0.000    0.000    0.000    0.000 __init__.py:1015(__init__)
       46    0.000    0.000    0.001    0.000 __init__.py:1025(getLogger)
       24    0.000    0.000    0.000    0.000 __init__.py:1031(is_url)
